ticker,metric,fiscal_year,period_end,value,tag_used,accession
AXP,provision_credit_losses,2014,2014-12-31,2044000000,ProvisionForLoanLeaseAndOtherLosses,0001193125-15-059931
AXP,provision_credit_losses,2015,2015-12-31,1988000000,ProvisionForLoanLeaseAndOtherLosses,0001193125-16-469798
AXP,provision_credit_losses,2016,2016-12-31,2026000000,ProvisionForLoanLeaseAndOtherLosses,0001193125-17-047588
AXP,interest_income_net,2017,2017-12-31,6441000000,InterestIncomeExpenseNet,0000004962-18-000032
AXP,interest_income_net,2018,2018-12-31,7663000000,InterestIncomeExpenseNet,0000004962-19-000018
AXP,interest_income_net,2019,2019-12-31,8620000000,InterestIncomeExpenseNet,0000004962-20-000030
AXP,interest_income_net,2020,2020-12-31,7985000000,InterestIncomeExpenseNet,0000004962-21-000013
AXP,interest_income_net,2021,2021-12-31,7750000000,InterestIncomeExpenseNet,0000004962-22-000008
AXP,interest_income_net,2022,2022-12-31,9895000000,InterestIncomeExpenseNet,0000004962-23-000006
AXP,interest_income_net,2023,2023-12-31,13134000000,InterestIncomeExpenseNet,0000004962-24-000013
AXP,interest_income_net,2024,2024-12-31,15543000000,InterestIncomeExpenseNet,0000004962-25-000016
AXP,interest_income_net,2025,2025-12-31,17364000000,InterestIncomeExpenseNet,0000004962-26-000080
AXP,interest_income_net,2010,2010-12-31,4869000000,InterestIncomeExpenseNet,0000950123-11-019072
AXP,interest_income_net,2009,2009-12-31,3124000000,InterestIncomeExpenseNet,0001193125-10-041232
AXP,interest_income_net,2011,2011-12-31,4641000000,InterestIncomeExpenseNet,0001193125-12-077400
AXP,interest_income_net,2012,2012-12-31,4628000000,InterestIncomeExpenseNet,0001193125-13-070554
AXP,interest_income_net,2013,2013-12-31,5047000000,InterestIncomeExpenseNet,0001193125-14-066777
AXP,interest_income_net,2014,2014-12-31,5472000000,InterestIncomeExpenseNet,0001193125-15-059931
AXP,interest_income_net,2015,2015-12-31,5922000000,InterestIncomeExpenseNet,0001193125-16-469798
AXP,interest_income_net,2016,2016-12-31,5771000000,InterestIncomeExpenseNet,0001193125-17-047588
